"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Sep-2025","EQ","2,397.50","2,400.00","2,339.00","2,404.00","2,342.00","2,342.80","2,359.94","3,358.00","2,124.75","10,89,446","2,57,10,28,693.60","88,638"
"25-Sep-2025","EQ","2,458.50","2,462.70","2,388.00","2,457.20","2,404.00","2,404.00","2,413.29","3,358.00","2,124.75","15,18,215","3,66,38,92,010.10","81,168"
"24-Sep-2025","EQ","2,446.00","2,475.00","2,443.20","2,446.90","2,458.50","2,457.20","2,461.22","3,358.00","2,124.75","6,37,749","1,56,96,39,539.80","54,569"
"23-Sep-2025","EQ","2,472.10","2,483.80","2,428.00","2,482.70","2,450.00","2,446.90","2,449.86","3,358.00","2,124.75","13,32,111","3,26,34,85,069.30","63,604"
"22-Sep-2025","EQ","2,494.10","2,503.00","2,474.10","2,481.70","2,479.90","2,482.70","2,488.32","3,358.00","2,124.75","8,72,806","2,17,18,23,851.00","47,534"
"19-Sep-2025","EQ","2,475.00","2,509.50","2,468.50","2,478.70","2,495.80","2,481.70","2,485.15","3,394.90","2,124.75","37,31,525","9,27,34,01,995.40","68,897"
"18-Sep-2025","EQ","2,497.90","2,506.20","2,469.30","2,493.60","2,478.00","2,478.70","2,484.30","3,394.90","2,124.75","4,00,796","99,56,96,737.60","34,436"
"17-Sep-2025","EQ","2,482.00","2,496.90","2,480.80","2,480.90","2,494.50","2,493.60","2,487.70","3,394.90","2,124.75","3,59,627","89,46,42,603.90","33,061"
"16-Sep-2025","EQ","2,495.00","2,509.90","2,474.50","2,502.60","2,482.00","2,480.90","2,488.81","3,394.90","2,124.75","7,60,790","1,89,34,58,633.60","54,288"
"15-Sep-2025","EQ","2,535.10","2,543.50","2,498.00","2,546.30","2,504.90","2,502.60","2,509.44","3,394.90","2,124.75","5,83,051","1,46,31,34,103.00","43,109"
"12-Sep-2025","EQ","2,560.00","2,568.30","2,537.20","2,555.90","2,540.50","2,546.30","2,550.82","3,394.90","2,124.75","5,47,539","1,39,66,74,809.30","40,076"
"11-Sep-2025","EQ","2,541.00","2,559.50","2,535.70","2,543.30","2,558.00","2,555.90","2,551.45","3,394.90","2,124.75","4,23,961","1,08,17,16,977.90","39,190"
"10-Sep-2025","EQ","2,537.30","2,555.00","2,525.10","2,537.30","2,541.00","2,543.30","2,538.02","3,394.90","2,124.75","5,20,584","1,32,12,51,315.40","32,637"
"09-Sep-2025","EQ","2,540.00","2,551.60","2,524.80","2,530.80","2,541.30","2,537.30","2,537.81","3,394.90","2,124.75","7,02,450","1,78,26,83,504.90","47,923"
"08-Sep-2025","EQ","2,579.90","2,589.60","2,526.40","2,579.90","2,535.00","2,530.80","2,550.52","3,394.90","2,124.75","7,42,880","1,89,47,27,092.80","36,682"
"05-Sep-2025","EQ","2,565.00","2,602.00","2,565.00","2,568.60","2,581.90","2,579.90","2,581.22","3,394.90","2,124.75","11,53,436","2,97,72,75,502.90","52,228"
"04-Sep-2025","EQ","2,553.90","2,583.00","2,553.00","2,553.90","2,570.00","2,568.60","2,570.37","3,394.90","2,124.75","9,33,071","2,39,83,37,278.70","74,273"
"03-Sep-2025","EQ","2,530.00","2,565.10","2,527.30","2,540.00","2,560.00","2,553.90","2,550.67","3,394.90","2,124.75","9,25,847","2,36,15,33,560.30","56,343"
"02-Sep-2025","EQ","2,569.00","2,571.90","2,531.00","2,570.20","2,538.00","2,540.00","2,549.56","3,394.90","2,124.75","10,24,054","2,61,08,85,776.30","85,903"
"01-Sep-2025","EQ","2,518.00","2,577.80","2,515.10","2,518.60","2,570.00","2,570.20","2,559.95","3,394.90","2,124.75","13,14,833","3,36,59,06,195.70","62,406"
"29-Aug-2025","EQ","2,491.00","2,531.60","2,490.00","2,489.00","2,520.00","2,518.60","2,513.22","3,394.90","2,124.75","17,98,653","4,52,04,02,451.20","1,05,469"
"28-Aug-2025","EQ","2,465.00","2,528.00","2,465.00","2,481.40","2,490.00","2,489.00","2,505.93","3,394.90","2,124.75","14,85,769","3,72,32,34,769.70","1,05,181"
